Date of Final Decision,Submission Number,Device,Company,Panel (lead),Primary Product Code,city,state,date_received,decision_date,decision_code,expedited_review_flag,device_class
12/20/2023,K230850,United Orthopedic Knee Patient Specific Instrumentation,"Enhatch, Inc.",Orthopedic,OOG,Hasbrouck Heights,NJ,2023-03-28,2023-12-20,SESE,,2
12/18/2023,K231929,iQ-solutions,Sydney Neuroimaging Analysis Centre Pty Ltd,Radiology,QIH,Camperdown,,2023-06-30,2023-12-18,SESE,,2
12/18/2023,K231587,MAGNETOM Cima.X,"Siemens Medical Solutions USA, Inc.",Radiology,LNH,Malvern,PA,2023-05-31,2023-12-18,SESE,,2
12/15/2023,K230751,EW10-EC02 Endoscopy Support Program,FUJIFILM Corporation,Gastroenterology-Urology,QNP,Ashigarakami-Gun,,2023-03-17,2023-12-15,SESE,,2
12/15/2023,K232384,Videa Dental Assist,"VideaHealth, Inc.",Radiology,MYN,Boston,MA,2023-08-08,2023-12-15,SESE,,2
12/14/2023,K231570,StrokeViewer Perfusion,NICo-Lab B.V.,Radiology,LLZ,Amsterdam,,2023-05-31,2023-12-14,SESE,,2
12/13/2023,K232237,Tyto Insights for Wheeze Detection,Tyto Care Ltd.,Anesthesiology,PHZ,Natanya,,2023-07-28,2023-12-13,SESE,,2
12/13/2023,K232231,QP-Brain®,Quibim S.L.,Radiology,QIH,Valencia,,2023-07-27,2023-12-13,SESE,,2
12/11/2023,K232096,Transpara Density 1.0.0,Screenpoint Medical B.V.,Radiology,QIH,Nijmegen,,2023-07-13,2023-12-11,SESE,,2
12/8/2023,K223757,Bonelogic,Disior Ltd,Radiology,LLZ,Helsinki,,2022-12-15,2023-12-08,SESE,,2
12/8/2023,K231898,DTX Studio Clinic (4.0),Nobel Biocare AB,Radiology,LLZ,Göteborg,,2023-06-28,2023-12-08,SESE,,2
12/7/2023,K232381,LOGIQ Totus,"GE Medical Systems Ultrasound and Primary care Diagnostics,",Radiology,IYN,Wauwatosa,WI,2023-08-08,2023-12-07,SESE,,2
12/7/2023,K232661,Myocardial Strain Software Application,Circle Cardiovascular Imaging,Radiology,LLZ,Calgary,,2023-08-31,2023-12-07,SESE,,2
12/6/2023,K233562,LINQ II Insertable Cardiac Monitor,"Medtronic, Inc.",Cardiovascular,MXD,Mounds View,MN,2023-11-06,2023-12-06,SESE,,2
12/6/2023,K233334,Aquilion Serve SP (TSX-307B/1) V1.3,Canon Medical Systems Corporation,Radiology,JAK,Otawara-shi,,2023-09-29,2023-12-06,SESE,,2
12/5/2023,K232440,Adravision Perio,Adra Corporation,Radiology,QIH,Atlanta,GA,2023-08-14,2023-12-05,SESE,,2
12/5/2023,K233568,Ceevra Reveal 3+,"Ceevra, Inc.",Radiology,QIH,San Francisco,CA,2023-11-06,2023-12-05,SESE,,2
12/1/2023,K232856,Syngo Carbon Clinicals,Siemens Healthcare GmbH,Radiology,QIH,Forchheim,,2023-09-15,2023-12-01,SESE,,2
11/30/2023,K233545,EPIQ Series Diagnostic Ultrasound System,Philips Ultrasound LLC,Radiology,IYN,Bothell,WA,2023-11-03,2023-11-30,SESE,,2
11/29/2023,K230179,6440 MyLabX90,Esaote S.p.A.,Radiology,IYN,Genoa,,2023-01-23,2023-11-29,SESE,,2
11/28/2023,K231631,BriefCase-Quantification,"Aidoc Medical, Ltd.",Radiology,JAK,Tel Aviv,,2023-06-05,2023-11-28,SESE,,2
11/28/2023,K232000,syngo.via MI Workflows; Scenium; syngo MBF,"Siemens Medical Solutions USA, Inc.",Radiology,QIH,Hoffman Estates,IL,2023-07-05,2023-11-28,SESE,,2
11/27/2023,K233243,ClearPoint System (Software Version 2.2),ClearPoint Neuro Inc.,Neurology,HAW,Solana Beach,CA,2023-09-28,2023-11-27,SESE,,2
11/21/2023,K232496,Brainomix 360 Triage Stroke,Brainomix Limited,Radiology,QAS,Oxford,,2023-08-17,2023-11-21,SESE,,2
11/17/2023,K232501,AI Platform (AIP001),Exo Inc,Radiology,QIH,Santa Clara,CA,2023-08-17,2023-11-17,SESE,,2
11/15/2023,K232841,Axial3D Insight,Axial Medical Printing Limited,Radiology,QIH,Belfast,,2023-09-14,2023-11-15,SESE,,2
11/14/2023,K232494,MAGNETOM Avanto fit; MAGNETOM Skyra fit,"Siemens Medical Solutions USA, Inc.",Radiology,LNH,Malvern,PA,2023-08-17,2023-11-14,SESE,,2
11/13/2023,K232083,BriefCase-Quantification,"Aidoc Medical, Ltd.",Radiology,QIH,Tel Aviv,,2023-07-13,2023-11-13,SESE,,2
11/13/2023,K232257,Clarius Bladder AI,Clarius Mobile Health Corp.,Radiology,QIH,Vancouver,,2023-07-28,2023-11-13,SESE,,2
11/9/2023,K223754,BraveCX,Bering Ltd,Radiology,QFM,London,,2022-12-15,2023-11-09,SESE,,2
11/9/2023,K231617,MAGNETOM Free.Max; MAGNETOM Free.Star,"Siemens Medical Solutions USA, Inc.",Radiology,LNH,Malvern,PA,2023-06-02,2023-11-09,SESE,,2
11/8/2023,K231765,Contour ProtégéAI,MIM Software Inc.,Radiology,QKB,Cleveland,OH,2023-06-16,2023-11-08,SESE,,2
11/8/2023,K230534,BriefCase-Quantification,"Aidoc Medical, Ltd.",Radiology,QIH,Tel Aviv,,2023-02-27,2023-11-08,SESE,,2
11/7/2023,K231989,"LOGIQ E10s, LOGIQ Fortis","GE Medical Systems Ultrasound and Primary Care Diagnostic,",Radiology,IYN,Wauwatosa,WI,2023-07-05,2023-11-07,SESE,,2
11/7/2023,K231966,LOGIQ E10,"GE Medical Systems Ultrasound and Primary care Diagnostics,",Radiology,IYN,Wauwatosa,WI,2023-07-03,2023-11-07,SESE,,2
11/6/2023,K231470,Lunit INSIGHT DBT,Lunit Inc.,Radiology,QDQ,Seoul,,2023-05-22,2023-11-06,SESE,,2
11/3/2023,K231955,aprevo® Digital Segmentation,"Carlsmed, Inc.",Radiology,QIH,San Diego,CA,2023-07-03,2023-11-03,SESE,,2
10/30/2023,K232145,"ACUSON Sequoia Diagnostic Ultrasound System, ACUSON Sequoia Select Diagnostic Ultrasound System, ACUSON Origin Diagnostic Ultrasound System","Siemens Medical Solutions USA, Inc.",Radiology,IYN,Issaquah,WA,2023-07-19,2023-10-30,SESE,,2
10/30/2023,K232751,BriefCase-Triage,"Aidoc Medical, Ltd.",Radiology,QAS,Tel Aviv,,2023-09-08,2023-10-30,SESE,,2
10/30/2023,K231965,"Voluson Expert 22, Voluson Expert 20, Voluson Expert 18","GE Medical Systems Ultrasound and Primary Care Diagnostics,",Radiology,IYN,Wauwatosa,WI,2023-07-03,2023-10-30,SESE,,2
10/27/2023,K230854,SwiftMR,AIRS Medical Inc.,Radiology,LLZ,Seoul,,2023-03-28,2023-10-27,SESE,,2
10/27/2023,K232045,MeVis Liver Suite,MeVis Medical Solutions AG,Radiology,JAK,Bremen,,2023-07-10,2023-10-27,SESE,,2
10/26/2023,K232500,Lumify Diagnostic Ultrasound System,Philips Ultrasound,Radiology,IYN,Bothell,WA,2023-08-17,2023-10-26,SESE,,2
10/25/2023,K232436,Rapid SDH,"iSchemaView, Inc.",Radiology,QAS,Golden,CO,2023-08-14,2023-10-25,SESE,,2
10/25/2023,K230842,SignalHF (IM008),Implicity Inc.,Cardiovascular,QNL,Cambridge,MA,2023-03-28,2023-10-25,SESE,,2
10/23/2023,K231764,Ultrasound System 1300,BK Medical Aps,Radiology,IYN,Herlev,,2023-06-16,2023-10-23,SESE,,2
10/23/2023,K231560,MAGNETOM Vida; MAGNETOM Lumina; MAGNETOM Aera; MAGNETOM Skyra; MAGNETOM Prisma; MAGNETOM Prisma fit,"Siemens Medical Solutions USA, Inc.",Radiology,LNH,Malvern,PA,2023-05-30,2023-10-23,SESE,,2
10/23/2023,K232305,AI-Rad Companion Brain MR,Siemens Medical Solutions U.S.A.,Radiology,QIH,Malvern,PA,2023-08-01,2023-10-23,SESE,,2
10/20/2023,K230209,Sonix Health,"Ontact Health Co., Ltd.",Radiology,QIH,Seoul,,2023-01-25,2023-10-20,SESE,,2
10/13/2023,K230370,SpotLight/SpotLight Duo (with DLIR option),Arineta Ltd.,Radiology,JAK,Caesarea,,2023-02-10,2023-10-13,SESE,,2
10/13/2023,K231642,Veuron-Brain-pAb3,"Heuron Co., Ltd.",Radiology,LLZ,Seoul,,2023-06-05,2023-10-13,SESE,,2
10/11/2023,K230220,NeuViz 128 Multi-Slice CT Scanner System,"Neusoft Medical Systems Co., Ltd.",Radiology,JAK,Shenyang,,2023-01-26,2023-10-11,SESE,,2
10/6/2023,K223905,Vivio® LVEDP System,"Avicena, LLC",Cardiovascular,QUO,Pasadena,CA,2022-12-28,2023-10-06,SESE,,2
10/6/2023,K230144,Denti.AI Detect,"Denti.AI Technology, Inc.",Radiology,MYN,Toronto,,2023-01-18,2023-10-06,SESE,,2
10/6/2023,K232760,Swoop® Portable MR Imaging System®,"Hyperfine, Inc.",Radiology,LNH,Guilford,CT,2023-09-08,2023-10-06,SESE,,2
10/6/2023,K232787,ScanNav Anatomy Peripheral Nerve Block,Intelligent Ultrasound Limited,Anesthesiology,QRG,Cardiff,,2023-09-11,2023-10-06,SESE,,2
10/5/2023,K232704,Clarius Ultrasound Scanner,Clarius Mobile Health Corp.,Radiology,IYN,Vancouver,,2023-09-05,2023-10-05,SESE,,2
10/5/2023,K231001,DeepTek CXR Analyzer v1.0,DeepTek Medical Imaging Pvt Ltd,Radiology,MYN,Pune,,2023-04-07,2023-10-05,SESE,,2
10/5/2023,K232367,cmAngio® V1.0,"CureMetrix, Inc.",Radiology,QIH,San Diego,CA,2023-08-08,2023-10-05,SESE,,2
10/4/2023,K231025,EFAI NeuroSuite CT ICH Assessment System,"Ever Fortune.AI Co., Ltd.",Radiology,QAS,Taichung City,,2023-04-11,2023-10-04,SESE,,2
10/4/2023,K231398,VUNO Med-DeepBrain,VUNO Inc.,Radiology,QIH,Seoul,,2023-05-15,2023-10-04,SESE,,2
10/4/2023,K232023,Momentum Spine,Momentum Health Inc.,Radiology,LDK,Montreal,,2023-07-07,2023-10-04,SESE,,U
10/3/2023,K230085,Lung-CAD,"Imagen Technologies, Inc",Radiology,MYN,New York,NY,2023-01-11,2023-10-03,SESE,,2
10/3/2023,K232712,uMI Panorama,"Shanghai United Imaging Healthcare Co., Ltd.",Radiology,KPS,Shanghai,,2023-09-05,2023-10-03,SESE,,2
10/3/2023,K231772,"V8/H8 Diagnostic Ultrasound System, V7/H7 Diagnostic Ultrasound System, V6/H6 Diagnostic Ultrasound System","Samsung Medison Co., Ltd.",Radiology,IYN,Hongcheon-gun,,2023-06-16,2023-10-03,SESE,,2
9/29/2023,K230045,HipCheck,Stryker Corp.,Radiology,QIH,San Jose,CA,2023-01-06,2023-09-29,SESE,,2
9/28/2023,K232699,Low Ejection Fraction AI-ECG Algorithm,"Anumana, Inc.",Cardiovascular,QYE,Cambridge,MA,2023-09-05,2023-09-28,SESE,,2
9/28/2023,K231837,Brainomix 360 Triage LVO,Brainomix Limited,Radiology,QAS,Oxford,,2023-06-22,2023-09-28,SESE,,2
9/27/2023,K232616,Volta AF-Xplorer,Volta Medical,Cardiovascular,DQK,Marseille,,2023-08-28,2023-09-27,SESE,,2
9/26/2023,K230252,OFIX MIS App,Orthofix US LLC,Radiology,LLZ,Lewisville,TX,2023-01-30,2023-09-26,SESE,,2
9/25/2023,K231928,EFAI RTSUITE CT HCAP-Segmentation System,"Ever Fortune.AI Co., Ltd.",Radiology,QKB,Taichung City,,2023-06-30,2023-09-25,SESE,,2
9/22/2023,K231384,Annalise Enterprise CTB Triage Trauma,Annalise-AI Pty Ltd.,Radiology,QAS,Sydney,,2023-05-12,2023-09-22,SESE,,2
9/22/2023,K231767,Annalise Enterprise CTB Triage Trauma,Annalise-AI Pty Ltd,Radiology,QAS,Sydney,,2023-06-16,2023-09-22,SESE,,2
9/22/2023,K231149,qXR-CTR,Qure.ai Technologies,Radiology,QIH,Mumbai,,2023-04-21,2023-09-22,SESE,,2
9/22/2023,K223659,Jazz,AI Medical AG,Radiology,LLZ,Zollikon,,2022-12-06,2023-09-22,SESE,,2
9/21/2023,K231678,Overjet Periapical Radiolucency Assist,"Overjet, Inc",Radiology,MYN,Boston,MA,2023-06-09,2023-09-21,SESE,,2
9/19/2023,K231281,Aquilion Serve (TSX-307A/1) V1.3,Canon Medical Systems Corporation,Radiology,JAK,Otawara-shi,,2023-05-03,2023-09-19,SESE,,2
9/19/2023,K221309,AI100 with Shonit,SigTuple Technologies Pvt. Ltd.,Hematology,JOY,Bangalore,,2022-05-05,2023-09-19,SESE,,2
9/14/2023,K220034,NEUROShield,In-Med Prognostics L3C,Radiology,LLZ,San Diego,CA,2022-01-05,2023-09-14,SESE,,2
9/13/2023,K223811,Lung-CAD,"Imagen Technologies, Inc",Radiology,MYN,New York,NY,2022-12-20,2023-09-13,SESE,,2
9/12/2023,K231748,Cartesion Prime (PCD-1000A/3) V10.15,Canon Medical Systems Corporation,Radiology,KPS,Otawara-shi,,2023-06-15,2023-09-12,SESE,,2
9/12/2023,K232526,"XIDF-AWS801, Angio Workstation (Alphenix Workstation), V9.5",Canon Medical Systems Corporation,Radiology,JAA,Otawara-shi,,2023-08-21,2023-09-12,SESE,,2
9/9/2023,K223864,"Alignment System Cranial, Alignment Software Cranial, Cirq Alignment Software Cranial Biopsy, Cirq Alignment Software Cranial sEEG, Varioguide Alignment Software Cranial",Brainlab AG,Neurology,HAW,Munich,,2022-12-23,2023-09-09,SESE,,2
9/8/2023,K231335,Cleerly ISCHEMIA,"Cleerly, Inc",Cardiovascular,QXZ,Denver,CO,2023-05-08,2023-09-08,SESE,,2
9/8/2023,K222921,Minuteful-kidney test,Healthy.io Ltd.,Clinical Chemistry,JIR,Tel Aviv,,2022-09-26,2023-09-08,SESE,,1
9/8/2023,K232686,CorVista® System,"CorVista Health, Inc.",Cardiovascular,QXX,Washington,DC,2023-09-01,2023-09-08,SESE,,2
9/8/2023,K223621,DeepXray,"Alpha Intelligence Manifolds, Inc.",Radiology,QIH,New Taipei City,,2022-12-05,2023-09-08,SESE,,2
9/7/2023,K231207,"CARTO 3 EP Navigation System Software V8.0 (FG-5400-00, FG-5400-00U)","Biosense Webster, Inc.",Cardiovascular,DQK,Irvine,CA,2023-04-27,2023-09-07,SESE,,2
9/6/2023,K232482,MAGNETOM Viato.Mobile,"Siemens Medical Solutions USA, Inc.",Radiology,LNH,Malvern,PA,2023-08-16,2023-09-06,SESE,,2
9/1/2023,K223622,FaceHeart Vitals Software Development Kit (FH vitals SDK),FaceHeart Corp.,Cardiovascular,QME,Grand Cayman,,2022-12-05,2023-09-01,SESE,,2
8/30/2023,K230355,"Vantage Galan 3T, MRT-3020, V9.0 with AiCE Reconstruction Processing Unit for MR",Canon Medical Systems Corporation,Radiology,LNH,Otawara-shi,,2023-02-09,2023-08-30,SESE,,2
8/28/2023,K223639,VisAble.IO,TechsoMed,Radiology,QTZ,Rehovot,,2022-12-05,2023-08-28,SESE,,2
8/25/2023,K223180,AIRAscore,AIRAmed GmbH,Radiology,LLZ,Tübingen,,2022-10-11,2023-08-25,SESE,,2
8/23/2023,K230812,Withings Scan Monitor 2.0,Withings,Cardiovascular,DPS,Issy-Les-Moulineaux,,2023-03-24,2023-08-23,SESE,,2
8/22/2023,K230899,qXR-PTX-PE,Qure.ai Technologies,Radiology,QFM,Mumbai,,2023-03-31,2023-08-22,SESE,,2
8/18/2023,K223539,Dreem 3S,"Beacon Biosignals, Inc.",Neurology,OLZ,Boston,MA,2022-11-23,2023-08-18,SESE,,2
8/15/2023,K231094,Annalise Enterprise CTB Triage-OH,Annalise-AI Pty Ltd,Radiology,QAS,Sydney,,2023-04-18,2023-08-15,SESE,,2
8/3/2023,DEN230003,Viz HCM,"Viz.ai, Inc.",Cardiovascular,QXO,San Francisco,CA,2023-01-10,2023-08-03,DENG,,2
8/3/2023,K223133,VisiRad XR,Imidex Inc.,Radiology,MYN,Denver,CO,2022-10-03,2023-08-03,SESE,,2
8/2/2023,K223553,"Spine Planning (2.0), Elements Spine Planning, Elements Planning Spine",Brainlab AG,Neurology,OLO,Munich,,2022-11-25,2023-08-02,SESE,,2
7/27/2023,K230074,Rapid Aneurysm Triage and Notification,iSchemaView Inc.,Radiology,QFM,Golden,CO,2023-01-10,2023-07-27,SESE,,2
7/27/2023,K231195,Brainomix 360 Triage ICH,Brainomix Limited,Radiology,QAS,Oxford,,2023-04-27,2023-07-27,SESE,,2
7/26/2023,K231038,Global Hypoperfusion Index (GHI) Algorithm,"Edwards Lifesciences, LLC",Cardiovascular,QNL,Irvine,CA,2023-04-12,2023-07-26,SESE,,2
7/26/2023,K231572,uMI Panorama,"Shanghai United Imaging Healthcare Co., Ltd.",Radiology,KPS,Shanghai,,2023-05-31,2023-07-26,SESE,,2
7/25/2023,K223473,ME-APDS; MAGENTIQ-COLO,Magentiq Eye LTD,Gastroenterology-Urology,QNP,Haifa,,2022-11-17,2023-07-25,SESE,,2
7/25/2023,K230913,ANDI,"Imeka Solutions, Inc.",Radiology,QIH,Sherbrooke,,2023-03-31,2023-07-25,SESE,,2
7/25/2023,K230365,Sonio Detect,Sonio,Radiology,IYN,Paris,,2023-02-10,2023-07-25,SESE,,2
7/24/2023,K223347,UltraSight AI Guidance,UltraSight Inc.,Radiology,QJU,Rehovot,,2022-11-01,2023-07-24,SESE,,2
7/21/2023,K223288,"Cranial Navigation, Navigation Software Cranial, Navigation Software Craniofacial, Cranial EM System, Automatic Registration iMRI",Brainlab AG,Neurology,HAW,Munich,,2022-10-25,2023-07-21,SESE,,2
7/21/2023,K231173,Irregular Rhythm Notification Feature (IRNF),Apple Inc.,Cardiovascular,QDB,Cupertino,CA,2023-04-25,2023-07-21,SESE,,2
7/21/2023,K230150,OptimMRI,"RebrAIn, SAS",Radiology,QIH,Pessac,,2023-01-19,2023-07-21,SESE,,2
7/20/2023,K230039,uOmnispace,"Shanghai United Imaging Healthcare Co., Ltd",Radiology,QIH,Shanghai,,2023-01-06,2023-07-20,SESE,,2
7/19/2023,K231157,syngo.CT Lung CAD (Version VD30),Siemens Healthcare GmbH,Radiology,OEB,Forchheim,,2023-04-24,2023-07-19,SESE,,2
7/14/2023,K223106,"Brainlab Elements Image Fusion, Contouring (4.5);Image Fusion  (4.5);Fibertracking (2.0);BOLD MRI Mapping  (1.0);Image Fusion Angio  (1.0)",Brainlab AG,Radiology,QIH,Munich,,2022-09-30,2023-07-14,SESE,,2
7/13/2023,K223424,Spine Auto Views,GE Medical Systems SCS,Radiology,JAK,Buc,,2022-11-14,2023-07-13,SESE,,2
7/13/2023,K231833,Biograph Vision.X and Biograph Vision.X Edge,"Siemens Medical Solutions USA, Inc.",Radiology,KPS,Hoffman Estates,IL,2023-06-22,2023-07-13,SESE,,2
7/13/2023,K223426,ECHELON Synergy MRI system,FUJIFILM Healthcare Corporation,Radiology,LNH,Kashiwa-Shi,,2022-11-14,2023-07-13,SESE,,2
7/12/2023,K230823,AusculThing ACC,AusculThing Oy,Cardiovascular,DQD,Espoo,,2023-03-24,2023-07-12,SESE,,2
7/10/2023,K223724,MOZI TPS,"Manteia Technologies Co., Ltd.",Radiology,MUJ,Xiamen,,2022-12-13,2023-07-10,SESE,,2
7/7/2023,K231668,Spine CAMP (1.1),"Medical Metrics, Inc.",Radiology,QIH,Houston,TX,2023-06-07,2023-07-07,SESE,,2
7/3/2023,K222745,Axial3D Insight,Axial Medical Printing Limited,Radiology,QIH,Belfast,,2022-09-12,2023-07-03,SESE,,2
6/29/2023,DEN200052,KidneyIntelX.dkd,"Renalytix AI, Inc.",Clinical Chemistry,QWZ,New York,NY,2020-08-26,2023-06-29,DENG,,2
6/29/2023,K230337,EarliPoint,"EarliTec Diagnostics, Inc",Neurology,QPF,Decatur,GA,2023-02-07,2023-06-29,SESE,,2
6/22/2023,K230497,Bladder AI (AIBV01),Exo Inc,Radiology,QIH,Santa Clara,CA,2023-02-24,2023-06-22,SESE,,2
6/20/2023,K230346,Voluson SWIFT; Voluson SWIFT+,"GE Medical Systems Ultrasound & Primary Care Diagnostic, LLC",Radiology,IYN,Wauwatosa,WI,2023-02-08,2023-06-20,SESE,,2
6/20/2023,K231459,HepaFatSmart (V2.0.0),Resonance Health Analysis Services Pty Ltd,Radiology,LNH,Burswood,,2023-05-19,2023-06-20,SESE,,2
6/16/2023,K223556,DeepCatch,"MEDICALIP Co., Ltd",Radiology,QIH,Seoul,,2022-11-28,2023-06-16,SESE,,2
6/16/2023,K223357,EyeArt v2.2.0,"Eyenuk, Inc.",Ophthalmic,PIB,Los Angeles,CA,2022-11-02,2023-06-16,SESE,,2
6/16/2023,K223646,IB Lab LAMA,IB Lab GmbH,Radiology,QIH,Vienna,,2022-12-06,2023-06-16,SESE,,2
6/13/2023,K230112,CAC Software,"Imbio, Inc.",Radiology,JAK,Minneapolis,MN,2023-01-17,2023-06-13,SESE,,2
6/6/2023,K223855,"FEops HEARTguideTM, FEops HEARTguideTM ALPACA",FEops nv,Radiology,QIH,Gent-Zwijnaarde,,2022-12-23,2023-06-06,SESE,,2
5/30/2023,K223523,Sonic DL,"GE Medical Systems,LLC (GE Healthcare)",Radiology,LNH,Waukesha,WI,2022-11-23,2023-05-30,SESE,,2
5/25/2023,K230273,Saranas Early Bird Bleed Monitoring System,Saranas Inc.,Cardiovascular,QFJ,Houston,TX,2023-01-31,2023-05-25,SESE,,2
5/25/2023,K223491,"Critical Care Suite with Pneumothorax Detection AI Algorithm, Critical Care Suite 2.1, Critical Care Suite","GE Medical Systems, LLC",Radiology,QBS,Waukesha,WI,2022-11-21,2023-05-25,SESE,,2
5/23/2023,K230096,Genius AI Detection 2.0 with CC-MLO Correlation,"Hologic, Inc.",Radiology,QDQ,Marlborough,MA,2023-01-13,2023-05-23,SESE,,2
5/23/2023,K223504,Ceribell Status Epilepticus Monitor,"Ceribell, Inc.",Neurology,OMB,Sunnyvale,CA,2022-11-22,2023-05-23,SESE,,2
5/19/2023,K212758,Autoplaque,Cedars-Sinai Medical Center: AIM,Radiology,LLZ,Los Angeles,CA,2021-08-31,2023-05-19,SESE,,2
5/19/2023,K231143,GI Genius System 100 and GI Genius System 200,Cosmo Artificial Intelligence - AI Ltd,Gastroenterology-Urology,QNP,Dublin,,2023-04-21,2023-05-19,SESE,,2
5/17/2023,K222728,Radiation Planning Assistant (RPA),"University of Texas, MD Anderson Cancer Center",Radiology,MUJ,Houston,TX,2022-09-08,2023-05-17,SESE,,2
5/12/2023,K231190,EPIQ Series Diagnostic Ultrasound System,Philips Ultrasound LLC,Radiology,IYN,Bothell,WA,2023-04-26,2023-05-12,SESE,,2
5/11/2023,K223623,SubtleMR (2.3.x),Subtle Medical Inc.,Radiology,LLZ,Menlo Park,CA,2022-12-05,2023-05-11,SESE,,2
5/10/2023,K220437,Neurophet AQUA,"NEUROPHET, Inc.",Radiology,LLZ,Seoul,,2022-02-16,2023-05-10,SESE,,2
5/4/2023,K223771,Lumify Diagnostic Ultrasound System,Philips Ultrasound,Radiology,IYN,Bothell,WA,2022-12-16,2023-05-04,SESE,,2
5/4/2023,K230082,Auto Segmentation,"GE Medical Systems, LLC",Radiology,QKB,Waukesha,WI,2023-01-11,2023-05-04,SESE,,2
5/2/2023,K230977,SIS System,"Surgical Information Sciences, Inc.",Radiology,QIH,Edina,MN,2023-04-05,2023-05-02,SESE,,2
5/2/2023,K230292,Samsung ECG Monitor Application with Irregular Heart Rhythm Notification,"Samsung Electronics Co., Ltd",Cardiovascular,QDA,Suwon-si,,2023-02-02,2023-05-02,SESE,,2
4/27/2023,K223734,ENT EM,Brainlab AG,Neurology,PGW,Munich,,2022-12-13,2023-04-27,SESE,,2
4/27/2023,K223212,Precision DL,GE Healthcare,Radiology,KPS,Tirat Hacarmel,,2022-10-17,2023-04-27,SESE,,2
4/26/2023,K230553,"LINQ II Insertable Cardiac Monitor, CareLink SmartSync LINQ II ICM Application","Medtronic, Inc.",Cardiovascular,MXD,Mounds View,MN,2023-02-28,2023-04-26,SESE,,2
4/26/2023,K230552,MR DWI/FLAIR Measurement V1.0,Olea Medical,Radiology,LLZ,La Ciotat,,2023-02-28,2023-04-26,SESE,,2
4/25/2023,K230223,iCAC Device,"Bunkerhill, Inc",Radiology,JAK,Palo Alto,CA,2023-01-26,2023-04-25,SESE,,2
4/25/2023,K222676,Ceevra Reveal 3,"Ceevra, Inc.",Radiology,QIH,San Francisco,CA,2022-09-06,2023-04-25,SESE,,2
4/21/2023,K223501,ViewFinder Software Version 1.1,Elaitra Ltd,Radiology,QIH,London,,2022-11-21,2023-04-21,SESE,,2
4/21/2023,K230084,HERA W10 Diagnostic Ultrasound System; HERA W9 Diagnostic Ultrasound System,"Samsung Medison CO., LTD.",Radiology,IYN,Hongcheon-gun,,2023-01-11,2023-04-21,SESE,,2
4/20/2023,K230807,Deep Learning Image Reconstruction,GE Healthcare Japan Corporation,Radiology,JAK,Hino,,2023-03-23,2023-04-20,SESE,,2
4/20/2023,K223287,Velacur,Sonic Incytes,Radiology,IYO,Vancouver,,2022-10-25,2023-04-20,SESE,,2
4/19/2023,K230023,ART-Plan,Therapanacea SAS,Radiology,QKB,Paris,,2023-01-04,2023-04-19,SESE,,2
4/19/2023,K223552,"Brainlab Elements  Trajectory Planning (2.6), Elements Stereotaxy, Elements Lead Localization, Elements Trajectory Planning Cranial",Brainlab AG,Neurology,HAW,Munich,,2022-11-25,2023-04-19,SESE,,2
4/17/2023,K230772,Quantib Prostate,Quantib BV,Radiology,LLZ,Rotterdam,,2023-03-21,2023-04-17,SESE,,2
4/14/2023,K230685,AutoContour Model RADAC V3,"Radformation, Inc.",Radiology,QKB,New York,NY,2023-03-13,2023-04-14,SESE,,2
4/13/2023,K230264,Ezra Flash,"Ezra AI, Inc.",Radiology,LLZ,New York,NY,2023-01-31,2023-04-13,SESE,,2
4/13/2023,K213986,CerebralGo Plus,"Yukun (Beijing) Technology Co., Ltd",Radiology,QIH,Beijing,,2021-12-20,2023-04-13,SESE,,2
4/11/2023,K223830,Ultrasound System 2300,BK Medical Aps,Radiology,IYN,Herlev,,2022-12-21,2023-04-11,SESE,,2
4/7/2023,K230575,Limbus Contour,Limbus AI Inc.,Radiology,LLZ,Regina,,2023-03-01,2023-04-07,SESE,,2
4/7/2023,K230658,SKOUT® system,Iterative Scopes Inc.,Gastroenterology-Urology,QNP,Cambridge,MA,2023-03-09,2023-04-07,SESE,,2
4/6/2023,K223458,"Ingenia, Ingenia CX, Ingenia Elition, Ingenia Ambition, MR 5300 and MR 7700 MR Systems",Philips Medical Systems Nederland B.V.,Radiology,LNH,Best,,2022-11-16,2023-04-06,SESE,,2
4/6/2023,K223774,Contour ProtégéAI,MIM Software Inc.,Radiology,QKB,Cleveland,OH,2022-12-16,2023-04-06,SESE,,2
4/6/2023,K222360,AI-Rad Companion (Cardiovascular),Siemens Medical Solutions U.S.A.,Radiology,JAK,Malvern,PA,2022-08-04,2023-04-06,SESE,,2
4/5/2023,K223630,"Reveal LINQ Insertable Cardiac Monitor, LINQ II Insertable Cardiac Monitor, AccuRhythm AI ECG Classification System","Medtronic, Inc.",Cardiovascular,MXD,Mounds View,MN,2022-12-05,2023-04-05,SESE,,2
4/3/2023,K223240,Annalise Enterprise CTB Triage Trauma,Annalise-AI Pty Ltd,Radiology,QAS,Sydney,,2022-10-20,2023-04-03,SESE,,2
3/31/2023,K220068,Butterfly iQ/iQ+ Ultrasound System,"Butterfly Network, Inc.",Radiology,IYO,Guilford,CT,2022-01-10,2023-03-31,SESE,,2
3/31/2023,K213272,Formus Hip,"Formus Labs, Ltd",Radiology,QIH,Auckland,,2021-09-30,2023-03-31,SESE,,2
